indentation	style_name	style_description
;;;	Cantoria 	Sung poetry of itinerant cantadores from Northeastern Brazil.
;;;;	Repente 	Contest of fully improvised poetry sung in different stanza formats.
;;;	Capoeira Music 	Afro-Brazilian style that accompanies and sets the rhythm and energy of the capoeira martial art, originating in the 19th century with the relocation of African slaves to the states of Bahia and Rio de Janeiro.
;;;	Fandango caiçara 	Style of fandango born in coastal Southern Brazil amidst the Caiçara people.
;;;	Jongo 	Afro-Brazilian cultural manifestation involving music and dance; composed of percussion instruments and chants.
;;;;	Ponto de umbanda 	Afro-Brazilian religious ritualistic praise sung by priests to evoke entities; typically accompanied by claps and traditional drums known as atabaque.
;;;	Lundu 	Afro-Brazilian musical genre that emerged in the 18th century with influences from African drumming with European Fandango.
;;;	Maracatu 	Afro-Brazilian genre which accompanies the cultural manifestation of the same name, hailing from the northeastern state of Pernambuco.
;;;	Modinha 	Popular during the 18th and 19th centuries in Brazil; characterized by sentimental works with amorous themes, poetic lyrics, acoustic instrumentation and operatic vocals.
;;;	Rasqueado 	Regional dance and its accompanying music from the Brazilian midwest, predominantly the state of Mato Grosso.
;;;	Samba de roda 	Mixed Portuguese culture with African slave traditions, as well as sharing roots and similarities with Batuque and Jongo.
;;;	Sertanejo de raiz 	Earliest form of Sertanejo, emerging in pre-World War II rural Brazil during the late 1920s; quickly strummed acoustic guitars, most commonly the 10-string viola caipira and classical guitar, and a highly emotive vocal style.
;;;;	Moda de viola 	Style of Sertanejo de raiz predominant in southeast, south, and west-central Brazil.
;;;	Toada de Boi 	Slow, heavy-percussed tunes celebrating the folkloric Ox, originally from Bumba-meu-boi June parties in Northeastern Brazil.
;;;	Xaxado 	Features a strong rhythmic beat, sliding tap dances, and stories of backland bandits.
;;	Buryat Folk Music 	Traditional Folk Music of the Buryat people, a Mongolic ethnic group inhabiting the Republic of Buryatia, a federal subject of the Russian Far East region.
;;	Canadian Folk Music 	Traditional folk of the European settlers who arrived in Canada.
;;;	Canadian Maritime Folk 	Traditional folk of Canada's Maritimes (Nova Scotia, Prince Edward Island, and New Brunswick).
;;;;	Cape Breton Folk Music 	Celtic Folk Music that emerged in Cape Breton, an island at the eastern shore of Nova Scotia, through immigrants from Scotland and Ireland.
;;;;;	Cape Breton Fiddling 	Distinctive Celtic fiddling originating from the Scottish immigrants who settled in Canada on Cape Breton Island.
;;;	French-Canadian Folk Music 	Brought by French colonists to their Nouvelle-France settlements, primarily based around French Folk Music with influences from English Folk Music and Celtic Folk Music, typically played during gatherings and holidays.
;;;	Métis Fiddling 	Canadian style blending First Nations and European musical influences into an up-tempo style of fiddling characterized by the use of syncopation and indigenous rhythms.
;;;	Newfoundland Folk Music 	Traditional Folk Music of Newfoundland and Labrador, Canada's easternmost province.
;;	Caribbean Folk Music 	Meta-genre that covers the different forms of Traditional Folk Music from the Caribbean.
;;;	Bele 	Drum-based folkdance with a strong Afro-influence, conducted by duos of dancers and accompanied by call-and-response singing, particularly popular in Martinique, Dominica and Trinidad and Tobago.
;;;	Benna 	Traditional music of Antigua & Barbuda, using call-and-response and bawdy lyrics.
;;;	Bomba 	Percussive style from Puerto Rico, generally considered to be derived from West Africa.
;;;	Fungi 	Traditional Folk Music native to the Virgin Islands, named after a local dish which features a "mixed-up" flavor that can be compared to the style that combines Western instruments with local ones.
;;;	Garifuna Folk Music 	Folk of Garifunas, Caribbean people born from escaped African slaves and local Caribbean natives.
;;;	Haitian Vodou Drumming 	Form of rhythmic performance by Haitian Vodou practitioners, played at associated ceremonies.
;;;	Jibaro 	Traditions of the mountain-dwelling jibaro people that live primarily in Puerto Rico.
;;;	Kaiso 	Trinidadian folk considered to be the precursor of Calypso, led by "griot" storytellers who sing derogatory lyrics to the sound of drums and guitars in a call-and-response manner in order to rebel against slaveowners.
;;;	Kitchen Dance Music 	Cayman Islands music played during kitchen dance parties, centered around fiddle and percussion (handmade or kitchen grater) playing.
;;;	Mento 	Jamaican folk originating in the late 19th century which brought together African and European elements, going on to influence the rhythm in Reggae.
;;;	Méringue 	Haitian genre that dates back to the early 19th century; the roots of Compas.
;;;	Plena 	Folk genre from Puerto Rico played with hand drums called panderetas.
;;;	Ripsaw 	Indigenous style of the Turks and Caicos Islands, featuring a handsaw as the primary instrument.
;;;	Tumba 	African-style percussion alongside Latin influences and often explicit lyrics.
;;;	Virgin Islander Cariso 	Folk of the Virgin Islands, sung exclusively by women to the beat of one or two drums.
;;	Caucasian Folk Music 	Folk of the Caucasus region, a mountainous area that connects Eastern Europe to Asia.
;;;	Abkhazian Folk Music 	Traditions of the Republic of Abkhazia, a disputed territory on the Black Sea in northwestern Georgia.
;;;	Chechen Folk Music 	Folk of the Chechens, a Northeast Caucasian ethnic group predominantly living in the Republic of Chechnya, a federal subject of Russia.
;;;	Circassian Folk Music 	Folk of the native Circassian peoples of Northern Caucasus, residing in the Republics of Adygea, Karachay-Cherkessia, and Kabardino-Balkaria respectively, which are federal subjects of the Russian Federation, as well as the territories of the former Ottoman Empire, with a significant diaspora population in modern Turkey.
;;;	Dagestani Folk Music 	Traditional Folk Music of the Dagestani people.
;;;;	Avar Folk Music 	Traditional Folk Music of the Avar people.
;;;	Georgian Folk Music 	Traditions of the Georgian people, who mostly live in Georgia.
;;;;	Batonebi Songs 	Traditional Georgian Lullabies often meant to soothe sick children.
;;;	Ossetian Folk Music 	Folk music of Ossetians, an ethnic group that mainly inhabits a region located on both sides of the Greater Caucasus Mountains.
;;	Chukchi Folk Music 	Traditional Folk Music of the Chukchi people.
;;	East Asian Folk Music 	All the forms of Traditional Folk Music from East Asia, including Japanese Folk Music, Chinese Folk Music, and Korean Folk Music.
;;;	Amami shimauta 	Tradition from the Amami Islands, located in southern Japan.
;;;	Chinese Folk Music 	Traditional folk of the Chinese people.
;;;;	Chaozhou xianshi 	Traditional and instrumental ensemble music originating from Chaozhou; played mainly on stringed instruments.
;;;;	Han Folk Music 	Chinese folk form often played at weddings and funerals, using the Suona (a form of oboe) and Chuigushou (a specific type of percussive ensemble), together with heterophony.
;;;;	Jiangnan sizhu 	Originating from Jiangnan region and played by a varying ensemble of stringed instruments, flutes, mouth organs and small percussions.
;;;;	Shan'ge 	Folk songs found in upland regions of China, typically sung while working.
;;;	Indigenous Taiwanese Music 	Traditional Folk Music of the various Austronesian people groups that make up the indigenous population of the island of Taiwan.
;;;	Japanese Folk Music 	Folk traditions of Japan.
;;;;	Heikyoku 	Semi-classical bardic tradition in Japan analogous to the troubadour music of medieval Europe.
;;;;	Kagura 	Performed at Shinto shrines for ceremonies and rituals.
;;;;	Kouta 	Kouta, which literally means "little" or "short" song, is one type of the many varieties of Japanese folk songs that is distinguished by its briefness and wittiness.
;;;;	Min'yō 	Form of Japanese Folk Music which literally translates to "folk song".
;;;;	Ondō 	Originally referred to the type of call-and-response form of Gagaku, but later became to be known for and distinguished by a swung 2/2 rhythm and storytelling.
;;;;	Rōkyoku 	Storytelling usually accompanied by a shamisen.
;;;;	Taiko 	Modern style of ensemble drumming, sometimes called kumi-daiko.
;;;;	Tsugaru shamisen 	Shamisen playing originating in the Tsugaru Peninsula of Aomori prefecture, recognizable in its percussive quality and special, slightly larger instrument.
;;;	Korean Folk Music 	Traditional Folk Music of the Korean people.
;;;;	Pansori 	Korean style of storytelling characterized by over-the-top, passionate singing from a solo vocalist accompanied by minimal drumming.
;;;;	Pungmul 	Consists of drumming, dancing, and singing, and is a tradition deeply ingrained in South Korean culture.
;;;;	Sanjo 	Traditional instrumental Korean Folk Music that focuses on a wide variety of rhythmic changes with many different classical Korean instruments.
;;;;	Sinawi 	Improvisational genre traditionally serving as an accompaniment to Korean shamanic rituals.
;;;	Vietnamese Folk Music 	Traditional Folk Music of the Vietnamese people, with traditions influenced by both Chinese Music and Austronesian culture through the Cham people.
;;;;	Chèo 	Northern Vietnamese folk musical theatre, characterized by minimal set design and satirical content.
;;;;	Quan họ 	Tradition of the Northern Vietnamese provinces of Bắc Ninh and Bắc Giang, originally consisting of harmonic, a cappella singing from two competing duos.
;;;;	Xẩm 	Developed in Northern Vietnam, traditionally sung by blind bards accompanied by a đàn bầu or đàn nhị.
;;	European Folk Music 	Encompasses numerous folk traditions found in Europe.
;;;	Alpine Folk Music 	Traditional Folk Music of the Alps, including parts of Germany, Austria, Slovenia, Switzerland, and Italy.
;;;;	Ländler 	Swiss-German dance band music based on the accordion, combining traditional Alpine Folk Music with elements from Schlager and Jazz.
;;;;	Narodno zabavna glasba 	Modernised form of Slovenian Folk Music from the Alpine region of Upper Carniola (Oberkrain).
;;;;	Naturjodel 	Originated in Toggenburg and Appenzell in Switzerland; deep vocal range, relaxed voice, free tempo, polyphony, elongated notes, improvisation, glissando, and use of syllabic sounds.
;;;	Balkan Folk Music 	Traditional Folk Music of the Balkan region of Southeastern Europe.
;;;;	Albanian Folk Music 	Traditional Folk Music of Albania, including the area's traditions as well as influence from Turkish Music.
